Zone Name,Lat,Long,Distance,Unit,Band(2m;1.25m;70cm),Use,Operational Status
ME C 2m Analog,44.55199814,-69.63169861,40,miles,2m,OPEN,On-air
ME C 70cm Analog,44.55199814,-69.63169861,40,miles,70cm,OPEN,On-air
ME S 2m Analog,43.65909958,-70.25682068,40,miles,2m,OPEN,On-air
ME S 70cm Analog,43.65909958,-70.25682068,40,miles,70cm,OPEN,On-air
