Audio Watch 9999,9999
Cape Net,8804
Coos Net,8803
CT Statewide,3901
Local 9,9
ME Statewide,3123
MA Statewide,3125
NE TAC1,8801
NE TAC2,8802
New Brunswick,3029
NewEng Wide 3181,3181
NH Statewide,3133
North America 3,3
Northeast 3172,3172
NY WIDE,3136
Parrot 9998,9998
Region North 8,8
RI Statewide,3144
SKYWARN/911,759
TAC 310,310
TAC 311,311
TAC 312,312
UA113,113
UA123,123
VT Statewide,3150
WorldWide 1,1
WW English 13,13
WCF Local2,31126
Simplex 99,99
